Day,Weekday,Departure Time,SOC on Departure,Arrival Time,SOC on Arrival,Distance (km),Travel Time (min),Distance (km),Travel Time (min)
1,Monday,07:51,48.00,18:14,37.82,62.08,600
2,Tuesday,08:06,48.00,17:45,36.83,68.09,600
3,Wednesday,07:51,48.00,18:09,36.99,67.15,600
4,Thursday,07:48,48.0,18:13,35.0,78.97,614
5,Friday,07:46,48.00,17:56,37.93,61.39,600
6,Saturday,No trips,32.0,,32.0,,
7,Sunday,No trips,32.0,,32.0,,
8,Monday,08:05,48.00,17:46,38.57,57.50,600
9,Tuesday,07:48,48.0,18:07,36.0,73.40,619
10,Wednesday,08:10,48.00,18:05,38.24,59.54,600
11,Thursday,07:51,48.00,17:55,38.25,59.43,600
12,Friday,08:05,48.00,17:55,38.45,58.22,600
13,Saturday,No trips,32.0,,32.0,,
14,Sunday,No trips,32.0,,32.0,,
15,Monday,07:54,48.00,18:02,38.61,57.27,600
16,Tuesday,08:02,48.00,17:55,37.19,65.92,600
17,Wednesday,07:48,48.00,18:07,38.02,60.87,600
17,Wednesday,18:10,38.02,19:31,35.79,13.55,16
18,Thursday,08:12,48.0,18:49,34.2,84.01,620
19,Friday,07:49,48.0,17:48,36.0,73.46,613
20,Saturday,No trips,32.0,,32.0,,
21,Sunday,No trips,32.0,,32.0,,
22,Monday,08:03,48.0,18:11,31.7,99.19,636
23,Tuesday,08:12,48.00,18:02,38.47,58.10,600
24,Wednesday,07:52,48.0,18:02,35.9,73.98,614
25,Thursday,07:56,48.00,18:00,38.40,58.53,600
26,Friday,08:01,48.0,17:56,34.9,79.93,615
27,Saturday,19:11,48.00,21:05,44.89,18.98,23
28,Sunday,No trips,32.0,,32.0,,
29,Monday,08:01,48.0,17:58,36.5,70.09,613
30,Tuesday,08:01,48.0,19:09,32.2,96.54,635
31,Wednesday,08:03,48.00,17:55,37.73,62.60,600
32,Thursday,08:01,48.00,18:08,37.18,65.96,600
33,Friday,07:47,48.00,18:13,36.71,68.82,600
34,Saturday,08:11,48.0,09:59,43.0,30.21,37
35,Sunday,No trips,32.0,,32.0,,
36,Monday,07:50,48.00,17:59,37.10,66.44,600
37,Tuesday,08:09,48.0,18:06,33.8,86.33,633
38,Wednesday,07:53,48.00,17:52,37.08,66.60,600
39,Thursday,08:06,48.00,18:12,37.46,64.28,600
40,Friday,07:46,48.0,18:05,35.8,74.37,615
41,Saturday,13:37,48.00,14:48,46.05,11.92,14
