Day,Weekday,Departure Time,SOC on Departure,Arrival Time,SOC on Arrival,Distance (km),Travel Time (min)
1,Monday,13:38,48.00,15:29,44.96,18.52,22
2,Tuesday,08:04,48.00,18:05,37.31,65.20,600
3,Wednesday,08:10,48.00,09:52,45.19,17.12,21
4,Thursday,07:49,48.00,17:50,38.39,58.57,600
5,Friday,15:14,48.00,17:00,45.09,17.77,21
5,Friday,11:03,45.09,13:00,41.88,19.54,23
5,Friday,18:56,41.88,20:29,39.32,15.60,19
6,Saturday,10:00,48.00,11:16,45.92,12.68,15
7,Sunday,No trips,32.0,,32.0
8,Monday,No trips,32.0,,32.0
9,Tuesday,08:02,48.00,18:05,38.65,57.04,600
9,Tuesday,11:24,38.65,12:38,36.61,12.41,15
10,Wednesday,No trips,32.0,,32.0
11,Thursday,08:10,48.00,18:07,36.70,68.89,600
12,Friday,No trips,32.0,,32.0
13,Saturday,No trips,32.0,,32.0
14,Sunday,15:37,48.00,17:22,45.12,17.58,21
14,Sunday,10:39,45.12,11:56,43.03,12.72,15
15,Monday,No trips,32.0,,32.0
16,Tuesday,08:06,48.00,18:04,37.72,62.70,600
16,Tuesday,15:53,37.72,17:04,35.77,11.85,14
17,Wednesday,15:37,48.00,17:29,44.94,18.63,22
18,Thursday,07:56,48.00,17:49,38.33,58.97,600
18,Thursday,15:33,38.33,16:46,36.33,12.18,15
19,Friday,No trips,32.0,,32.0
20,Saturday,19:54,48.00,20:58,46.23,10.78,13
21,Sunday,No trips,32.0,,32.0
22,Monday,No trips,32.0,,32.0
23,Tuesday,07:58,48.00,17:52,38.50,57.92,600
23,Tuesday,16:42,38.50,18:15,35.98,15.35,18
24,Wednesday,No trips,32.0,,32.0
25,Thursday,07:53,48.00,18:00,38.67,56.89,600
25,Thursday,14:14,38.67,16:04,35.65,18.41,22
26,Friday,13:14,48.00,15:04,44.99,18.35,22
27,Saturday,No trips,32.0,,32.0
28,Sunday,No trips,32.0,,32.0
29,Monday,No trips,32.0,,32.0
30,Tuesday,08:10,48.00,18:02,37.39,64.72,600
30,Tuesday,15:44,37.39,16:46,35.69,10.32,12
31,Wednesday,No trips,32.0,,32.0
32,Thursday,08:03,48.00,18:10,36.80,68.29,600
33,Friday,No trips,32.0,,32.0
34,Saturday,No trips,32.0,,32.0
35,Sunday,No trips,32.0,,32.0
36,Monday,No trips,32.0,,32.0
37,Tuesday,08:08,48.00,18:12,38.39,58.62,600
37,Tuesday,19:48,38.39,21:44,35.20,19.42,23
38,Wednesday,No trips,32.0,,32.0
39,Thursday,07:50,48.00,18:03,37.11,66.39,600
40,Friday,No trips,32.0,,32.0
41,Saturday,10:45,48.00,12:39,44.88,19.02,23
42,Sunday,No trips,32.0,,32.0
43,Monday,12:10,48.00,14:03,44.93,18.71,22
44,Tuesday,08:08,48.00,18:06,37.14,66.20,600
45,Wednesday,16:43,48.00,18:12,45.57,14.84,18
46,Thursday,07:49,48.00,17:59,38.29,59.22,600
46,Thursday,11:01,38.29,12:42,35.52,16.90,20
46,Thursday,19:32,35.52,21:04,33.00,15.36,18
47,Friday,No trips,32.0,,32.0
48,Saturday,No trips,32.0,,32.0
49,Sunday,No trips,32.0,,32.0
50,Monday,No trips,32.0,,32.0
51,Tuesday,08:02,48.00,17:54,38.56,57.55,600
51,Tuesday,11:54,38.56,13:38,35.70,17.47,21
51,Tuesday,11:22,35.70,12:25,33.97,10.52,13
52,Wednesday,16:18,48.00,17:36,45.85,13.13,16
52,Wednesday,17:59,45.85,19:07,44.00,11.28,14
53,Thursday,08:02,48.00,17:48,37.84,61.97,600
54,Friday,12:31,48.00,13:48,45.88,12.90,15
55,Saturday,16:52,48.00,18:11,45.83,13.21,16
56,Sunday,11:48,48.00,13:41,44.91,18.82,23
57,Monday,No trips,32.0,,32.0
58,Tuesday,07:45,48.00,17:48,37.55,63.71,600
58,Tuesday,13:20,37.55,15:13,34.46,18.85,23
59,Wednesday,No trips,32.0,,32.0
60,Thursday,07:56,48.00,18:05,37.71,62.77,600
61,Friday,No trips,32.0,,32.0
62,Saturday,12:53,48.00,14:51,44.76,19.77,24
63,Sunday,No trips,32.0,,32.0
64,Monday,16:09,48.00,17:55,45.09,17.74,21
65,Tuesday,08:09,48.00,18:06,36.78,68.44,600
66,Wednesday,11:42,48.00,12:57,45.95,12.52,15
67,Thursday,08:03,48.00,18:13,36.81,68.23,600
68,Friday,No trips,32.0,,32.0
69,Saturday,19:03,48.00,20:31,45.60,14.65,18
70,Sunday,14:25,48.00,16:08,45.17,17.24,21
71,Monday,17:58,48.00,19:40,45.23,16.90,20
72,Tuesday,08:06,48.00,18:13,38.66,56.94,600
73,Wednesday,No trips,32.0,,32.0
74,Thursday,08:11,48.00,17:57,37.50,64.05,600
74,Thursday,18:17,37.50,19:23,35.68,11.05,13
74,Thursday,16:23,35.68,17:36,33.68,12.24,15
75,Friday,No trips,32.0,,32.0
76,Saturday,12:37,48.00,13:59,45.76,13.67,16
77,Sunday,17:11,48.00,18:12,46.33,10.16,12
78,Monday,No trips,32.0,,32.0
79,Tuesday,08:09,48.00,18:14,38.08,60.50,600
79,Tuesday,19:19,38.08,20:21,36.40,10.24,12
80,Wednesday,No trips,32.0,,32.0
81,Thursday,08:00,48.00,18:05,38.03,60.77,600
82,Friday,17:44,48.00,18:50,46.19,11.04,13
83,Saturday,No trips,32.0,,32.0
84,Sunday,No trips,32.0,,32.0
85,Monday,No trips,32.0,,32.0
86,Tuesday,07:56,48.00,18:12,37.96,61.21,600
86,Tuesday,08:24,37.96,09:50,35.61,14.34,17
86,Tuesday,13:34,35.61,15:18,32.77,17.31,21
86,Tuesday,18:57,32.77,20:41,29.92,17.39,21
87,Wednesday,10:00,48.00,11:40,45.25,16.78,20
88,Thursday,07:52,48.00,18:03,37.46,64.28,600
89,Friday,12:07,48.00,13:52,45.12,17.55,21
89,Friday,15:49,45.12,17:36,42.20,17.84,21
90,Saturday,10:44,48.00,11:51,46.17,11.15,13
90,Saturday,13:27,46.17,14:56,43.75,14.77,18
91,Sunday,18:06,48.00,19:46,45.28,16.57,20
92,Monday,11:06,48.00,12:32,45.65,14.31,17
93,Tuesday,07:46,48.00,18:13,36.79,68.38,600
93,Tuesday,17:22,36.79,19:10,33.83,18.02,22
93,Tuesday,19:13,33.83,20:53,31.11,16.61,20
93,Tuesday,14:58,31.11,16:57,27.86,19.82,24
94,Wednesday,No trips,32.0,,32.0
95,Thursday,08:00,48.00,17:50,37.95,61.28,600
96,Friday,12:09,48.00,13:34,45.67,14.24,17
97,Saturday,No trips,32.0,,32.0
98,Sunday,No trips,32.0,,32.0
99,Monday,No trips,32.0,,32.0
100,Tuesday,07:57,48.00,18:14,37.76,62.43,600
101,Wednesday,No trips,32.0,,32.0
102,Thursday,08:04,48.00,18:05,37.85,61.89,600
103,Friday,No trips,32.0,,32.0
